HOLEID,PROJECTCODE,GEOLFROM,GEOLTO,PRIORITY,litho,texture,colour,litho_hist,lithcomment,GDA94_Z55_X,GDA94_Z55_Y,GDA94_Z55_Z
05LODH001,HISTRESRCH,105.2,106.1,1,,,,STsts,,278950.504,5981178.205,16.327
05LODH001,HISTRESRCH,106.1,109,1,,,,STsts,,278951.383,5981178.18,14.642
05LODH001,HISTRESRCH,109,110,1,,,,STsts,,278952.284,5981178.155,12.913
05LODH001,HISTRESRCH,110,111,1,,,,STsts,,278952.746,5981178.142,12.027
05LODH001,HISTRESRCH,111,112.3,1,,,,STsts,,278953.278,5981178.127,11.007
05LODH001,HISTRESRCH,112.3,112.8,1,,,,STsts,,278953.694,5981178.116,10.209
05LODH001,HISTRESRCH,112.8,115,1,,,,STsts,,278954.318,5981178.099,9.012
05LODH001,HISTRESRCH,115,116,1,,,,STsts,,278955.057,5981178.077,7.593
05LODH001,HISTRESRCH,116,117.6,1,,,,XSL,,278955.655,5981178.059,6.439
05LODH001,HISTRESRCH,117.6,118.8,1,,,,STsts,,278956.298,5981178.04,5.196
05LODH001,HISTRESRCH,118.8,119.8,1,,,,STsts,,278956.804,5981178.024,4.219
05LODH001,HISTRESRCH,119.8,120.9,1,,,,STsts,,278957.287,5981178.009,3.287
05LODH001,HISTRESRCH,120.9,123.5,1,,,,STsts,,278958.138,5981177.983,1.644
05LODH001,HISTRESRCH,123.5,124.2,1,,,,STsts,,278958.897,5981177.96,0.18
05LODH001,HISTRESRCH,124.2,124.3,1,,,,STsts,,278959.081,5981177.955,-0.176
05LODH001,HISTRESRCH,124.3,125.8,1,,,,STsts,,278959.449,5981177.944,-0.886
05LODH001,HISTRESRCH,125.8,126.2,1,,,,STsts,,278959.886,5981177.93,-1.729
05LODH001,HISTRESRCH,126.2,130.1,1,,,,SSHl,,278960.875,5981177.9,-3.638
05LODH001,HISTRESRCH,130.1,131,1,,,,SSHl,,278961.983,5981177.869,-5.767
05LODH001,HISTRESRCH,131,134,1,,,,SSHl,,278962.892,5981177.849,-7.492
05LODH001,HISTRESRCH,134,136,1,,,,SSHl,,278964.058,5981177.824,-9.703
05LODH001,HISTRESRCH,136,136.3,1,,,,SSHl,,278964.594,5981177.812,-10.721
05LODH001,HISTRESRCH,136.3,139,1,,,,XSL,,278965.293,5981177.797,-12.048
05LODH001,HISTRESRCH,139,145,1,,,,STsts,,278967.321,5981177.753,-15.896
05LODH001,HISTRESRCH,145,147.4,1,,,,STsts,,278969.28,5981177.708,-19.611
05LODH001,HISTRESRCH,147.4,148.5,1,,,,SSHl,,278970.095,5981177.686,-21.159
05LODH001,HISTRESRCH,148.5,149,1,,,,SSHl,,278970.468,5981177.677,-21.866
05LODH001,HISTRESRCH,149,153,1,,,,SSHm,,278971.517,5981177.649,-23.857
05LODH001,HISTRESRCH,153,168,1,,,,SSHm,,278975.946,5981177.533,-32.26
05LODH001,HISTRESRCH,168,169,1,,,,SSHm,,278979.676,5981177.436,-39.337
05LODH001,HISTRESRCH,169,169.1,1,,,,SSHm,,278979.933,5981177.429,-39.824
05LODH001,HISTRESRCH,169.1,170.2,1,,,,STsts,,278980.212,5981177.422,-40.354
05LODH001,HISTRESRCH,170.2,172,1,,,,STsts,,278980.888,5981177.404,-41.637
05LODH001,HISTRESRCH,172,173.2,1,,,,STsts,,278981.588,5981177.386,-42.964
05LODH001,HISTRESRCH,173.2,174.5,1,,,,STsts,,278982.17,5981177.371,-44.07
05LODH001,HISTRESRCH,174.5,177.8,1,,,,STsts,,278983.243,5981177.343,-46.104
05LODH001,HISTRESRCH,177.8,179,1,,,,STsts,,278984.292,5981177.315,-48.094
05LODH001,HISTRESRCH,179,182,1,,,,SSHl,,278985.271,5981177.29,-49.952
05LODH001,HISTRESRCH,182,183,1,,,,SSHl,,278986.203,5981177.265,-51.721
05LODH001,HISTRESRCH,183,188.5,1,,,,SSSm,,278987.718,5981177.226,-54.596
05LODH001,HISTRESRCH,188.5,189,1,,,,SSSm,,278989.117,5981177.189,-57.25
05LODH001,HISTRESRCH,189,190.5,1,,,,SSSm,,278989.583,5981177.177,-58.134
05LODH001,HISTRESRCH,190.5,199,1,,,,STrbs,,278991.914,5981177.116,-62.557
05LODH001,HISTRESRCH,199,200.5,1,,,,STrbs,,278994.245,5981177.055,-66.98
05LODH001,HISTRESRCH,200.5,202.5,1,,,,SSSm,,278995.061,5981177.034,-68.528
05LODH001,HISTRESRCH,202.5,203,1,,,,STsts,,278995.644,5981177.019,-69.634
05LODH001,HISTRESRCH,203,204,1,,,,STsts,,278995.994,5981177.01,-70.297
05LODH001,HISTRESRCH,204,204.2,1,,,,STsts,,278996.273,5981177.002,-70.828
05LODH001,HISTRESRCH,204.2,205,1,,,,STsts,,278996.506,5981176.996,-71.271
05LODH001,HISTRESRCH,205,209,1,,,,STsts,,278997.625,5981176.967,-73.394
05LODH001,HISTRESRCH,209,209.5,1,,,,STsts,,278998.685,5981176.942,-75.378
05LODH001,HISTRESRCH,209.5,211.5,1,,,,STsts,,278999.279,5981176.929,-76.478
05LODH001,HISTRESRCH,211.5,212,1,,,,STsts,,278999.873,5981176.916,-77.578
05LODH001,HISTRESRCH,212,216,1,,,,SSHm,,279000.942,5981176.892,-79.557
05LODH001,HISTRESRCH,216,216.5,1,,,,TFB,,279002.011,5981176.869,-81.537
05LODH001,HISTRESRCH,216.5,222,1,,,,SSHm,,279003.436,5981176.837,-84.176
05LODH001,HISTRESRCH,222,222.3,1,,,,SSHm,,279004.814,5981176.807,-86.728
05LODH001,HISTRESRCH,222.3,226.2,1,,,,STrbs,,279005.812,5981176.785,-88.576
05LODH001,HISTRESRCH,226.2,227,1,,,,STrbs,,279006.929,5981176.761,-90.643
05LODH001,HISTRESRCH,227,227.3,1,,,,STrbs,,279007.19,5981176.755,-91.127
05LODH001,HISTRESRCH,227.3,228,1,,,,STsts,,279007.427,5981176.75,-91.567
05LODH001,HISTRESRCH,228,228.5,1,,,,STsts,,279007.712,5981176.743,-92.095
05LODH001,HISTRESRCH,228.5,228.8,1,,,,STsts,,279007.903,5981176.739,-92.447
05LODH001,HISTRESRCH,228.8,230,1,,,,STsts,,279008.259,5981176.731,-93.107
05LODH001,HISTRESRCH,230,250,1,,,,SSHm,,279013.369,5981176.591,-102.393
05LODH001,HISTRESRCH,250,250.5,1,,,,SSHm,,279018.355,5981176.438,-111.347
05LODH001,HISTRESRCH,250.5,251,1,,,,STsts,,279018.598,5981176.431,-111.783
05LODH001,HISTRESRCH,251,253.2,1,,,,STsts,,279019.255,5981176.411,-112.963
05LODH001,HISTRESRCH,253.2,254,1,,,,STsts,,279019.985,5981176.388,-114.273
05LODH001,HISTRESRCH,254,257.1,1,,,,STsts,,279020.934,5981176.359,-115.976
05LODH001,HISTRESRCH,257.1,257.5,1,,,,SSHm,,279021.785,5981176.333,-117.505
05LODH001,HISTRESRCH,257.5,262.2,1,,,,STsts,,279023.03,5981176.293,-119.73
05LODH001,HISTRESRCH,262.2,262.5,1,,,,SSHm,,279024.26,5981176.25,-121.906
05LODH001,HISTRESRCH,262.5,266,1,,,,SSHm,,279025.196,5981176.217,-123.56
05LODH001,HISTRESRCH,266,266.6,1,,,,SSHm,,279026.204,5981176.182,-125.344
05LODH002,HISTRESRCH,150.4,151.6,1,,,,SSSm,,278920.374,5981176.942,-24.107
05LODH002,HISTRESRCH,151.6,153,1,,,,SSHl,,278920.951,5981176.952,-25.272
05LODH002,HISTRESRCH,153,153.4,1,,,,SSHl,,278921.35,5981176.959,-26.078
05LODH002,HISTRESRCH,153.4,155.3,1,,,,SSHl,,278921.86,5981176.968,-27.109
05LODH002,HISTRESRCH,155.3,156.3,1,,,,TFB,,278922.503,5981176.98,-28.408
05LODH002,HISTRESRCH,156.3,158,1,,,,SSHl,,278923.102,5981176.99,-29.618
05LODH002,HISTRESRCH,158,159,1,,,,SSHl,,278923.701,5981177,-30.828
05LODH002,HISTRESRCH,159,160,1,,,,STsts,,278924.144,5981177.008,-31.724
05LODH002,HISTRESRCH,160,175.3,1,,,,STsts,,278927.729,5981177.044,-39.043
05LODH002,HISTRESRCH,175.3,176.2,1,,,,STsts,,278931.27,5981177.06,-46.329
05LODH002,HISTRESRCH,176.2,177,1,,,,STsts,,278931.641,5981177.062,-47.093
05LODH002,HISTRESRCH,177,177.4,1,,,,STsts,,278931.903,5981177.063,-47.633
05LODH002,HISTRESRCH,177.4,178.5,1,,,,STsts,,278932.231,5981177.064,-48.307
05LODH002,HISTRESRCH,178.5,179,1,,,,STsts,,278932.581,5981177.066,-49.027
05LODH002,HISTRESRCH,179,180,1,,,,STsts,,278932.909,5981177.067,-49.701
05LODH002,HISTRESRCH,180,181,1,,,,STsts,,278933.346,5981177.069,-50.601
05LODH002,HISTRESRCH,181,181.5,1,,,,STsts,,278933.674,5981177.071,-51.275
05LODH002,HISTRESRCH,181.5,182,1,,,,STsts,,278933.892,5981177.072,-51.725
05LODH002,HISTRESRCH,182,182.6,1,,,,STsts,,278934.133,5981177.073,-52.22
05LODH002,HISTRESRCH,182.6,192,1,,,,SSHl,,278936.306,5981177.028,-56.722
05LODH002,HISTRESRCH,192,200,1,,,,STrbs,,278940.088,5981176.946,-64.557
05LODH002,HISTRESRCH,200,201,1,,,,STrbs,,278942.044,5981176.903,-68.61
05LODH002,HISTRESRCH,201,202,1,,,,STsts,,278942.478,5981176.894,-69.51
05LODH002,HISTRESRCH,202,204,1,,,,STsts,,278943.129,5981176.87,-70.861
05LODH002,HISTRESRCH,204,205.3,1,,,,STsts,,278943.844,5981176.839,-72.348
05LODH002,HISTRESRCH,205.3,206.2,1,,,,STsts,,278944.32,5981176.818,-73.339
05LODH002,HISTRESRCH,206.2,207.5,1,,,,STsts,,278944.797,5981176.798,-74.331
05LODH002,HISTRESRCH,207.5,208.5,1,,,,STsts,,278945.295,5981176.776,-75.367
05LODH002,HISTRESRCH,208.5,211.2,1,,,,STsts,,278946.096,5981176.741,-77.034
05LODH002,HISTRESRCH,211.2,211.5,1,,,,STsts,,278946.746,5981176.712,-78.385
05LODH002,HISTRESRCH,211.5,212.8,1,,,,STsts,,278947.093,5981176.697,-79.106
05LODH002,HISTRESRCH,212.8,214,1,,,,STsts,,278947.634,5981176.674,-80.233
05LODH002,HISTRESRCH,214,215,1,,,,STsts,,278948.111,5981176.653,-81.224
05LODH002,HISTRESRCH,215,224.6,1,,,,SSHl,,278950.407,5981176.553,-86
05LODH002,HISTRESRCH,224.6,225,1,,,,SSHl,,278952.573,5981176.458,-90.505
05LODH002,HISTRESRCH,225,226.8,1,,,,STsts,,278953.05,5981176.437,-91.496
05LODH002,HISTRESRCH,226.8,227.2,1,,,,STsts,,278953.526,5981176.416,-92.487
05LODH002,HISTRESRCH,227.2,228.5,1,,,,STsts,,278953.895,5981176.4,-93.253
05LODH002,HISTRESRCH,228.5,230,1,,,,STsts,,278954.501,5981176.374,-94.515
05LODH002,HISTRESRCH,230,230.6,1,,,,STsts,,278954.956,5981176.354,-95.461
05LODH002,HISTRESRCH,230.6,231.2,1,,,,STsts,,278955.216,5981176.343,-96.002
05LODH002,HISTRESRCH,231.2,233,1,,,,STsts,,278955.735,5981176.32,-97.083
05LODH002,HISTRESRCH,233,235,1,,,,STsts,,278956.551,5981176.277,-98.799
05LODH002,HISTRESRCH,235,236.7,1,,,,STsts,,278957.345,5981176.235,-100.469
05LODH002,HISTRESRCH,236.7,238,1,,,,STsts,,278957.988,5981176.202,-101.824
05LODH002,HISTRESRCH,238,238.5,1,,,,STsts,,278958.375,5981176.181,-102.636
05LODH002,HISTRESRCH,238.5,245.3,1,,,,SSHm,,278959.941,5981176.099,-105.932
05LODH002,HISTRESRCH,245.3,246.4,1,,,,SSHm,,278961.636,5981176.01,-109.499
05LODH002,HISTRESRCH,246.4,260,1,,,,SSHm,,278964.79,5981175.845,-116.135
05LODH002,HISTRESRCH,260,262,1,,,,STsts,,278968.137,5981175.67,-123.179
05LODH002,HISTRESRCH,262,263.6,1,,,,STsts,,278968.907,5981175.632,-124.805
05LODH002,HISTRESRCH,263.6,264.4,1,,,,STsts,,278969.417,5981175.61,-125.891
05LODH002,HISTRESRCH,264.4,270,1,,,,SSHm,,278970.778,5981175.551,-128.787
05LODH002,HISTRESRCH,270,270.5,1,,,,SSHm,,278972.076,5981175.494,-131.546
05LODH002,HISTRESRCH,270.5,272,1,,,,STsts,,278972.501,5981175.475,-132.451
05LODH002,HISTRESRCH,272,273,1,,,,STsts,,278973.033,5981175.452,-133.582
05LODH002,HISTRESRCH,273,274,1,,,,STsts,,278973.458,5981175.434,-134.487
05LODH002,HISTRESRCH,274,274.5,1,,,,STsts,,278973.777,5981175.42,-135.166
05LODH002,HISTRESRCH,274.5,275,1,,,,STsts,,278973.99,5981175.41,-135.618
05LODH002,HISTRESRCH,275,280.3,1,,,,STsts,,278975.223,5981175.357,-138.242
05LODH002,HISTRESRCH,280.3,292.5,1,,,,SSHm,,278978.945,5981175.194,-146.159
05LODH002,HISTRESRCH,292.5,293.5,1,,,,SSHm,,278981.753,5981175.071,-152.131
05LODH002,HISTRESRCH,293.5,294,1,,,,STsts,,278982.072,5981175.058,-152.81
05LODH002,HISTRESRCH,294,295.5,1,,,,STsts,,278982.497,5981175.039,-153.715
05LODH002,HISTRESRCH,295.5,300,1,,,,STsts,,278983.777,5981174.98,-156.427
05LODH002,HISTRESRCH,300,301,1,,,,STsts,,278984.953,5981174.923,-158.913
05LODH002,HISTRESRCH,301,302,1,,,,STsts,,278985.38,5981174.902,-159.816
05LODH002,HISTRESRCH,302,303.2,1,,,,STsts,,278985.851,5981174.88,-160.81
05LODH002,HISTRESRCH,303.2,304,1,,,,STsts,,278986.278,5981174.859,-161.714
05LODH002,HISTRESRCH,304,307,1,,,,SSHm,,278987.091,5981174.82,-163.431
05LODH002,HISTRESRCH,307,307.3,1,,,,SSHm,,278987.796,5981174.786,-164.923
05LODH002,HISTRESRCH,307.3,322,1,,,,SSHl,,278991.003,5981174.631,-171.701
05LODH002,HISTRESRCH,322,322.5,1,,,,SSHl,,278994.275,5981174.408,-178.556
05LODH002,HISTRESRCH,322.5,323,1,,,,SSHl,,278994.491,5981174.392,-179.007
05LODH002,HISTRESRCH,323,324,1,,,,STsts,,278994.815,5981174.368,-179.683
05LODH002,HISTRESRCH,324,325,1,,,,STsts,,278995.246,5981174.335,-180.584
05LODH002,HISTRESRCH,325,325.3,1,,,,STsts,,278995.527,5981174.315,-181.17
05LODH002,HISTRESRCH,325.3,326,1,,,,STsts,,278995.743,5981174.299,-181.621
05LODH002,HISTRESRCH,326,338.1,1,,,,SSHm,,278998.505,5981174.093,-187.391
05LODH003,HISTRESRCH,100.6,115.5,1,,,,SMDl,,278800.682,5979578.509,16.244
05LODH003,HISTRESRCH,115.5,117.4,1,,,,SSSm,,278804.57,5979578.588,8.798
05LODH003,HISTRESRCH,117.4,118.2,1,,,,SMDl,,278805.191,5979578.601,7.6
05LODH003,HISTRESRCH,118.2,119,1,,,,SSSm,,278805.559,5979578.609,6.89
05LODH003,HISTRESRCH,119,126.2,1,,,,SMDl,,278807.4,5979578.649,3.338
05LODH003,HISTRESRCH,126.2,126.5,1,,,,STsts,,278809.123,5979578.688,0.008
05LODH003,HISTRESRCH,126.5,127.5,1,,,,STsts,,278809.418,5979578.697,-0.571
05LODH003,HISTRESRCH,127.5,136,1,,,,SMDl,,278811.573,5979578.763,-4.804
05LODH003,HISTRESRCH,136,137,1,,,,STsts,,278813.728,5979578.828,-9.036
05LODH003,HISTRESRCH,137,138.6,1,,,,STsts,,278814.318,5979578.846,-10.194
05LODH003,HISTRESRCH,138.6,140,1,,,,STsts,,278814.999,5979578.867,-11.531
05LODH003,HISTRESRCH,140,141.1,1,,,,STsts,,278815.566,5979578.884,-12.644
05LODH003,HISTRESRCH,141.1,142.8,1,,,,STsts,,278816.198,5979578.9,-13.893
05LODH003,HISTRESRCH,142.8,144,1,,,,STsts,,278816.852,5979578.914,-15.188
05LODH003,HISTRESRCH,144,145.2,1,,,,STsts,,278817.393,5979578.926,-16.259
05LODH003,HISTRESRCH,145.2,147,1,,,,STsts,,278818.069,5979578.941,-17.598
05LODH003,HISTRESRCH,147,148,1,,,,STsts,,278818.7,5979578.954,-18.847
05LODH003,HISTRESRCH,148,149,1,,,,STsts,,278819.15,5979578.964,-19.74
05LODH003,HISTRESRCH,149,150.5,1,,,,STsts,,278819.714,5979578.977,-20.856
05LODH003,HISTRESRCH,150.5,151.7,1,,,,STsts,,278820.322,5979578.99,-22.061
